age,gender,country,subscription_type,primary_device,monthly_fee,account_age_months,devices_used,completion_rate,cost_per_hour,churned
49.0,Female,USA,Premium,Smart TV,0.11,26,5,0.9839829059829059,0.008509541000515729,0
35.03946643148495,Male,USA,Standard,Mobile,0.11,1,5,0.8884274509803922,0.008022365382277866,0
41.0,Male,Canada,Standard,Gaming Console,0.14,18,5,0.49575757575757573,0.012791228871630882,0
56.0,Male,USA,Premium+,Mobile,0.15,19,4,0.7268333333333333,0.025380710659898477,0
37.0,Female,USA,Premium+,Desktop,0.25,3,4,0.8859999999999999,0.0528727529080014,1
14.0,Male,USA,Basic,Gaming Console,0.25,27,5,1.0068947368421053,0.018992149911369965,0
35.03946643148495,Male,USA,Standard,Tablet,0.27,19,5,0.7732222222222223,0.02624756966947505,0
26.0,Female,Canada,Standard,Desktop,0.34,35,5,0.7845320512820513,0.035546262415054895,1
51.0,Other,USA,Standard,Gaming Console,0.35,12,5,0.7918585858585858,0.043059257740414185,0
53.0,Male,Canada,Standard,Smart TV,0.38,13,5,0.649923076923077,0.02815857725083364,1
41.0,Male,USA,Premium,Laptop,0.39,4,5,0.7525256410256411,0.03807973962571196,1
36.0,Female,USA,Premium,Mobile,0.39,7,4,0.5787142857142857,0.07158152340165187,0
23.0,Female,USA,Standard,Smart TV,0.4,20,5,0.7565454545454545,0.05752636625119846,0
58.0,Male,USA,Standard,Gaming Console,0.41,2,5,0.98775,0.024243618803587264,1
29.0,Other,Canada,Basic,Smart TV,0.41,4,5,0.9924454545454546,0.03460889138998311,0
41.0,Male,USA,Premium,Smart TV,0.42,11,4,0.6893333333333334,0.08061420345489444,0
45.0,Prefer not to say,USA,Standard,Smart TV,0.42,1,5,0.7973636363636364,0.04888457807953443,0
40.0,Female,Canada,Premium,Mobile,0.44,14,5,0.6914615384615385,0.030530819937550593,0
35.03946643148495,Male,USA,Premium,Mobile,0.45,9,5,0.7017857142857143,0.029983342587451417,1
43.0,Female,Canada,Basic,Desktop,0.49,21,5,0.828875,0.07867273213807865,0
21.0,Male,Canada,Premium+,Smart TV,0.51,36,4,0.414,0.5057851239669422,0
6.0,Male,USA,Premium+,Smart TV,0.51,11,5,0.7101666666666666,0.08872136851261234,0
44.0,Male,USA,Premium,Desktop,0.53,19,5,0.6494461538461539,0.061867704280155644,0
35.0,Female,USA,Standard,Gaming Console,0.53,27,5,0.7144722222222222,0.0480072463768116,0
17.0,Male,USA,Standard,Smart TV,0.53,34,5,1.0333333333333332,0.09174841315637622,0
2.0,Male,USA,Basic,Smart TV,0.54,33,5,0.6103,0.05731470015920749,0
33.0,Female,Canada,Standard,Gaming Console,0.57,30,5,0.8772307692307693,0.041560335399197956,0
53.0,Prefer not to say,Canada,Premium,Desktop,0.6,18,5,0.5778253968253968,0.08843036109064112,0
33.0,Other,USA,Premium+,Gaming Console,0.6,35,5,1.1816666666666666,0.08152173913043477,0
50.0,Male,Canada,Premium,Laptop,0.62,14,4,0.48714285714285716,0.0791152700978307,0
39.0,Female,USA,Premium,Desktop,0.66,27,5,0.8107333333333333,0.05888475836431227,0
